Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Mount Peter Ski Area,New York,New York,1250,450,750,0,0,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,54.0,100.0,69.0,33,0.16963475221837276,60.48941435248832,0.012513601741022852,0.04194630872483222,0.013888888888888888,0.024330042313117067,0.35714285714285715,0.07246376811594203,0.0,0.0
Oak Mountain,New York,New York,2400,650,1750,0,0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,,71.0,120.0,40.0,,12.0,33,0.16963475221837276,60.48941435248832,0.008342401160681901,,0.013888888888888888,0.004231311706629055,0.18181818181818182,0.08695652173913043,0.0,0.0
Peek'n Peak,New York,New York,1800,400,1400,0,0,0,0,8,0,2,10,27.0,4.0,2.4,110.0,110.0,110.0,55.0,225.0,63.0,,110.0,33,0.16963475221837276,60.48941435248832,0.01994922016684802,0.04614093959731544,0.05555555555555555,0.038787023977433006,0.37037037037037035,0.09090909090909091,0.0,0.0
Plattekill Mountain,New York,New York,3500,1100,2400,0,0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,67.0,65.0,,33,0.16963475221837276,60.48941435248832,0.01994922016684802,0.02726510067114094,0.013888888888888888,,0.10526315789473684,0.03636363636363636,0.0,0.0
Royal Mountain Ski Area,New York,New York,1800,550,1250,0,0,0,0,0,3,0,3,14.0,,0.3,35.0,28.0,,63.0,90.0,45.0,,,33,0.16963475221837276,60.48941435248832,0.006347479143997099,,,,0.21428571428571427,0.08571428571428572,0.0,0.0
Snow Ridge,New York,New York,2000,650,1350,0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,48.0,100.0,40.0,33,0.16963475221837276,60.48941435248832,0.023576351106274936,0.030620805369127518,0.027777777777777776,0.014104372355430184,0.2857142857142857,0.046153846153846156,0.0,0.0
Song Mountain,New York,New York,1940,700,1240,0,0,0,0,1,1,3,5,24.0,,0.4,93.0,70.0,90.0,55.0,125.0,59.0,122.0,70.0,33,0.16963475221837276,60.48941435248832,0.016866158868335146,0.037751677852348994,,0.02468265162200282,0.20833333333333334,0.053763440860215055,0.0,0.0
Swain,New York,New York,1970,650,1320,0,0,0,3,0,1,1,5,35.0,3.0,1.0,130.0,90.0,102.0,72.0,120.0,59.0,100.0,80.0,33,0.16963475221837276,60.48941435248832,0.023576351106274936,0.04278523489932886,0.041666666666666664,0.028208744710860368,0.14285714285714285,0.038461538461538464,0.0,0.0
Thunder Ridge,New York,New York,1270,500,770,0,0,0,0,1,2,3,6,30.0,,0.4,100.0,100.0,121.0,60.0,,57.0,121.0,100.0,33,0.16963475221837276,60.48941435248832,0.018135654697134566,0.05075503355704698,,0.03526093088857546,0.2,0.06,0.0,0.0
Titus Mountain,New York,New York,2025,1200,825,0,0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,49.0,100.0,70.0,33,0.16963475221837276,60.48941435248832,0.03627130939426913,0.04236577181208054,0.041666666666666664,0.02468265162200282,0.2,0.05,0.0,0.0
Toggenburg Mountain,New York,New York,2000,700,1300,0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,,,66.0,130.0,55.0,122.0,73.0,33,0.16963475221837276,60.48941435248832,0.015415306492564382,,0.027777777777777776,0.025740479548660086,0.22727272727272727,0.058823529411764705,0.0,0.0
West Mountain,New York,New York,1470,1010,460,0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,,58.0,80.0,59.0,120.0,105.0,33,0.16963475221837276,60.48941435248832,0.022488211824446862,,0.013888888888888888,0.03702397743300423,0.1724137931034483,0.04032258064516129,0.0,0.0
Whiteface Mountain Resort,New York,New York,4650,3430,1220,1,0,1,1,2,5,2,12,86.0,5.0,2.1,288.0,220.0,122.0,61.0,168.0,96.0,141.0,,33,0.16963475221837276,60.48941435248832,0.05223068552774755,0.051174496644295304,0.06944444444444445,,0.13953488372093023,0.041666666666666664,0.011627906976744186,0.003472222222222222
Willard Mountain,New York,New York,1415,505,910,0,0,0,0,0,2,3,5,16.0,,0.4,50.0,35.0,85.0,19.0,80.0,46.0,120.0,35.0,33,0.16963475221837276,60.48941435248832,0.009067827348567283,0.03565436241610738,,0.01234132581100141,0.3125,0.1,0.0,0.0
Windham Mountain,New York,New York,3100,1600,1500,0,1,2,0,3,1,5,12,54.0,6.0,2.0,285.0,280.0,123.0,59.0,105.0,95.0,130.0,56.0,33,0.16963475221837276,60.48941435248832,0.051686615886833515,0.051593959731543626,0.08333333333333333,0.019746121297602257,0.2222222222222222,0.042105263157894736,0.037037037037037035,0.007017543859649123
Woods Valley Ski Area,New York,New York,1400,500,900,0,0,0,0,0,2,4,6,21.0,,0.3,25.0,16.0,,55.0,180.0,39.0,,15.0,33,0.16963475221837276,60.48941435248832,0.004533913674283642,,,0.005289139633286318,0.2857142857142857,0.24,0.0,0.0
Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,64.0,100.0,27.0,6,0.057207779800390615,11.148479161634366,0.07297297297297298,0.1976284584980237,0.3333333333333333,0.08059701492537313,0.4166666666666667,0.18518518518518517,0.0,0.0
Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,70.0,108.0,50.0,6,0.057207779800390615,11.148479161634366,0.13513513513513514,0.27865612648221344,0.2222222222222222,0.14925373134328357,0.2777777777777778,0.1,0.0,0.0
Sapphire Valley,North Carolina,North Carolina,3450,200,3200,0,0,0,1,0,0,2,3,,1.0,1.0,8.0,8.0,53.0,55.0,24.0,43.0,60.0,8.0,6,0.057207779800390615,11.148479161634366,0.021621621621621623,0.10474308300395258,0.1111111111111111,0.023880597014925373,,0.375,,0.0
Beech Mountain Resort,North Carolina,North Carolina,5506,830,4675,0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,98.0,52.0,31.0,68.0,,95.0,6,0.057207779800390615,11.148479161634366,0.25675675675675674,0.19367588932806323,0.1111111111111111,0.2835820895522388,0.47058823529411764,0.08421052631578947,0.0,0.0
Sugar Mountain Resort,North Carolina,North Carolina,5300,1200,4100,0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,114.0,50.0,77.0,75.0,120.0,95.0,6,0.057207779800390615,11.148479161634366,0.33783783783783783,0.22529644268774704,0.1111111111111111,0.2835820895522388,0.38095238095238093,0.064,0.0,0.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,,49.0,65.0,65.0,100.0,60.0,6,0.057207779800390615,11.148479161634366,0.17567567567567569,,0.1111111111111111,0.1791044776119403,0.26666666666666666,0.06153846153846154,0.0,0.0
Alpine Valley,Ohio,Ohio,1500,230,1260,0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,,72.0,5,0.042774892848893416,11.154240842368269,0.171021377672209,0.2147239263803681,0.08333333333333333,0.171021377672209,0.45454545454545453,0.06944444444444445,0.0,0.0
Boston Mills,Ohio,Ohio,871,264,631,0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,110.0,40.0,5,0.042774892848893416,11.154240842368269,0.09501187648456057,0.18813905930470348,0.16666666666666666,0.09501187648456057,1.1428571428571428,0.2,0.0,0.0
Brandywine,Ohio,Ohio,871,240,631,0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,92.0,56.0,51.0,44.0,110.0,85.0,5,0.042774892848893416,11.154240842368269,0.20190023752969122,0.18813905930470348,0.16666666666666666,0.20190023752969122,1.4545454545454546,0.18823529411764706,0.0,0.0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,44.0,90.0,144.0,5,0.042774892848893416,11.154240842368269,0.342042755344418,0.20245398773006135,0.3333333333333333,0.342042755344418,0.6,0.08333333333333333,0.0,0.0
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,52.0,70.0,80.0,5,0.042774892848893416,11.154240842368269,0.19002375296912113,0.2065439672801636,0.25,0.19002375296912113,0.5294117647058824,0.1125,0.0,0.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,,75.0,56.0,300.0,40.0,80.0,,10,0.23709396768930827,10.164770936886937,0.09342619330728724,0.0635593220338983,0.09090909090909091,,0.14285714285714285,0.0027272727272727275,0.0,0.0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,1,1,2,10.0,,0.1,50.0,,78.0,66.0,100.0,39.0,90.0,,10,0.23709396768930827,10.164770936886937,0.004246645150331238,0.06610169491525424,,,0.2,0.04,0.0,0.0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,3,1,1,0,5,34.0,,0.4,806.0,,80.0,81.0,350.0,59.0,108.0,200.0,10,0.23709396768930827,10.164770936886937,0.06845591982333957,0.06779661016949153,,0.1774622892635315,0.14705882352941177,0.00620347394540943,0.0,0.0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,,94.0,55.0,300.0,52.0,92.0,40.0,10,0.23709396768930827,10.164770936886937,0.018685238661457448,0.07966101694915254,0.09090909090909091,0.0354924578527063,0.21739130434782608,0.022727272727272728,0.0,0.0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,8,0,3,0,0,11,101.0,5.0,4.0,4318.0,20.0,185.0,61.0,462.0,99.0,185.0,,10,0.23709396768930827,10.164770936886937,0.36674027518260577,0.15677966101694915,0.22727272727272727,,0.10891089108910891,0.0025474756831866605,0.07920792079207921,0.0018527095877721167
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,125.0,82.0,300.0,70.0,144.0,317.0,10,0.23709396768930827,10.164770936886937,0.08153558688635977,0.1059322033898305,0.09090909090909091,0.28127772848269744,0.13846153846153847,0.009375,0.0,0.0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,1,0,0,3,0,1,5,29.0,,2.1,555.0,60.0,3.0,78.0,430.0,60.0,100.0,,10,0.23709396768930827,10.164770936886937,0.047137761168676746,0.002542372881355932,,,0.1724137931034483,0.009009009009009009,0.0,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,91.0,52.0,30.0,60.0,90.0,86.0,19,0.14841443778775315,41.255916967038694,0.045550847457627115,0.06481481481481481,0.06382978723404255,0.056282722513089,0.2608695652173913,0.06976744186046512,0.0,0.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,62.0,75.0,26.0,19,0.14841443778775315,41.255916967038694,0.013771186440677966,0.053418803418803416,0.02127659574468085,0.017015706806282723,0.3333333333333333,0.23076923076923078,0.0,0.0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,2,5,1,8,16.0,8.0,,55.0,55.0,76.0,72.0,50.0,65.0,95.0,55.0,19,0.14841443778775315,41.255916967038694,0.02913135593220339,0.05413105413105413,0.1702127659574468,0.03599476439790576,0.5,0.14545454545454545,0.0,0.0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,68.0,105.0,42.0,19,0.14841443778775315,41.255916967038694,0.05296610169491525,0.06196581196581197,0.02127659574468085,0.0274869109947644,0.17647058823529413,0.06,0.0,0.0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,122.0,42.0,33.0,65.0,112.0,164.0,19,0.14841443778775315,41.255916967038694,0.08686440677966102,0.0868945868945869,0.10638297872340426,0.10732984293193717,0.41025641025641024,0.0975609756097561,0.02564102564102564,0.006097560975609756
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,70.0,100.0,160.0,19,0.14841443778775315,41.255916967038694,0.08792372881355932,0.07122507122507123,0.10638297872340426,0.10471204188481675,0.43243243243243246,0.0963855421686747,0.05405405405405406,0.012048192771084338
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,,60.0,60.0,69.0,100.0,90.0,19,0.14841443778775315,41.255916967038694,0.09533898305084745,,0.0425531914893617,0.058900523560209424,0.25925925925925924,0.03888888888888889,0.0,0.0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,65.0,105.0,,19,0.14841443778775315,41.255916967038694,0.05296610169491525,0.06837606837606838,0.02127659574468085,,0.45,0.09,0.0,0.0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,107.0,54.0,31.0,77.0,97.0,100.0,19,0.14841443778775315,41.255916967038694,0.05296610169491525,0.07621082621082621,0.06382978723404255,0.06544502617801047,0.5,0.08,0.0,0.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,1,0,1,2,10.0,,0.5,40.0,35.0,75.0,48.0,100.0,33.0,90.0,35.0,19,0.14841443778775315,41.255916967038694,0.0211864406779661,0.053418803418803416,,0.022905759162303665,0.2,0.05,0.0,0.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,,55.0,30.0,73.0,,100.0,19,0.14841443778775315,41.255916967038694,0.05455508474576271,,0.0425531914893617,0.06544502617801047,0.4,0.07766990291262135,0.0,0.0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,87.0,115.0,200.0,19,0.14841443778775315,41.255916967038694,0.15095338983050846,0.07051282051282051,0.14893617021276595,0.13089005235602094,0.42424242424242425,0.04912280701754386,0.0,0.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,65.0,122.0,120.0,19,0.14841443778775315,41.255916967038694,0.06620762711864407,0.07122507122507123,0.0425531914893617,0.07853403141361257,0.43478260869565216,0.08,0.043478260869565216,0.008
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,,50.0,24.0,44.0,90.0,15.0,19,0.14841443778775315,41.255916967038694,0.007944915254237288,,0.02127659574468085,0.00981675392670157,0.35714285714285715,0.3333333333333333,0.0,0.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,45.0,100.0,30.0,19,0.14841443778775315,41.255916967038694,0.020127118644067795,0.07122507122507123,0.02127659574468085,0.01963350785340314,0.625,0.13157894736842105,0.0,0.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,116.0,28.0,40.0,71.0,100.0,120.0,19,0.14841443778775315,41.255916967038694,0.0635593220338983,0.08262108262108261,0.0425531914893617,0.07853403141361257,0.34782608695652173,0.06666666666666667,0.043478260869565216,0.008333333333333333
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,81.0,,2,0.22607581000136776,2.593495513252762,0.5263157894736842,0.3770491803278688,0.6666666666666666,,0.06349206349206349,0.008,0.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,114.0,65.0,150.0,58.0,120.0,,2,0.22607581000136776,2.593495513252762,0.47368421052631576,0.6229508196721312,0.3333333333333333,,0.16666666666666666,0.011111111111111112,0.1,0.006666666666666667
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,2,0,1,1,4,10.0,1.0,1.0,,,83.0,44.0,35.0,65.0,94.0,,1,0.014643059321669063,2.3728170083523157,,1.0,1.0,,0.4,,0.0,
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,3,0,1,2,0,6,116.0,,1.3,2614.0,140.0,150.0,81.0,545.0,116.0,140.0,,13,0.4054950189615709,15.312673003757494,0.08568244394912809,0.09715025906735751,,,0.05172413793103448,0.0022953328232593728,0.02586206896551724,0.0011476664116296864
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,,120.0,81.0,400.0,50.0,120.0,,13,0.4054950189615709,15.312673003757494,0.015209125475285171,0.07772020725388601,0.07692307692307693,,0.10416666666666667,0.010775862068965518,0.0,0.0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,149.0,54.0,360.0,59.0,148.0,,13,0.4054950189615709,15.312673003757494,0.02130588698046414,0.09650259067357513,0.07692307692307693,,0.11267605633802817,0.012307692307692308,0.014084507042253521,0.0015384615384615385
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,500.0,85.0,138.0,200.0,13,0.4054950189615709,15.312673003757494,0.03441720204536515,0.08937823834196891,0.15384615384615385,0.3115264797507788,0.10606060606060606,0.006666666666666667,0.045454545454545456,0.002857142857142857
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,13,0,5,2,0,21,103.0,,2.8,2026.0,660.0,,39.0,300.0,169.0,,,13,0.4054950189615709,15.312673003757494,0.06640881080372361,,,,0.20388349514563106,0.010365251727541954,0.1262135922330097,0.006416584402764067
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,,,9.0,400.0,60.0,109.0,,13,0.4054950189615709,15.312673003757494,0.02130588698046414,,0.038461538461538464,,0.125,0.007692307692307693,0.0,0.0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,,120.0,47.0,500.0,88.0,146.0,300.0,13,0.4054950189615709,15.312673003757494,0.27743542677330535,0.07772020725388601,0.07692307692307693,0.4672897196261682,0.05389221556886228,0.0010633270321361058,0.005988023952095809,0.00011814744801512288
Snowbasin,Utah,Utah,9350,2900,6450,3,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,300.0,115.0,138.0,,13,0.4054950189615709,15.312673003757494,0.09833486298675757,0.09261658031088082,0.15384615384615385,,0.102803738317757,0.0036666666666666666,0.018691588785046728,0.0006666666666666666
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,,188.0,48.0,500.0,125.0,180.0,2.0,13,0.4054950189615709,15.312673003757494,0.08194571915563131,0.12176165803108809,0.038461538461538464,0.003115264797507788,0.08235294117647059,0.0056,0.03529411764705882,0.0024
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80.0,,3.0,1200.0,150.0,161.0,62.0,500.0,119.0,148.0,,13,0.4054950189615709,15.312673003757494,0.03933394519470303,0.10427461139896373,,,0.1125,0.0075,0.05,0.0033333333333333335
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,129.0,,13,0.4054950189615709,15.312673003757494,0.014750229448013635,0.08290155440414508,0.038461538461538464,,0.1111111111111111,0.011111111111111112,0.0,0.0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,50.0,105.0,140.0,13,0.4054950189615709,15.312673003757494,0.004588960272715353,0.06800518134715026,0.038461538461538464,0.21806853582554517,0.17391304347826086,0.02857142857142857,0.0,0.0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,79.0,132.0,50.0,15,2.4038885300862676,155.99001663893512,0.04144218814753419,0.07484524479459764,0.06,1.0,0.08450704225352113,0.02,0.0,0.0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,,83.0,168.0,91.0,152.0,,15,2.4038885300862676,155.99001663893512,0.02458903163420362,,0.02,,0.19148936170212766,0.05056179775280899,0.02127659574468085,0.0056179775280898875
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,125.0,,15,2.4038885300862676,155.99001663893512,0.02458903163420362,0.061902082160945414,0.06,,0.12,0.033707865168539325,0.04,0.011235955056179775
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,155.0,64.0,349.0,89.0,160.0,,15,2.4038885300862676,155.99001663893512,0.05318414145600221,0.08722566122678672,0.04,,0.11392405063291139,0.023376623376623377,0.012658227848101266,0.0025974025974025974
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,250.0,119.0,,,15,2.4038885300862676,155.99001663893512,0.20928305014504767,0.1080472706809229,0.12,,0.14193548387096774,0.014521452145214522,0.03225806451612903,0.0033003300330033004
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,80.0,,15,2.4038885300862676,155.99001663893512,0.028318828567481698,0.04276871131119865,0.02,,0.12,0.02926829268292683,0.0,0.0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,,82.0,250.0,81.0,,,15,2.4038885300862676,155.99001663893512,0.0359165630611963,,0.02,,0.11864406779661017,0.026923076923076925,0.03389830508474576,0.007692307692307693
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,135.0,,15,2.4038885300862676,155.99001663893512,0.1381406271584473,0.07653348339898705,0.12,,0.10256410256410256,0.008,0.0,0.0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,150.0,61.0,250.0,119.0,156.0,,15,2.4038885300862676,155.99001663893512,0.08025970437905788,0.08441193021947102,0.08,,0.14414414414414414,0.027538726333907058,0.04504504504504504,0.008605851979345954
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24.0,,0.4,100.0,50.0,100.0,85.0,90.0,75.0,106.0,,15,2.4038885300862676,155.99001663893512,0.01381406271584473,0.056274620146314014,,,0.125,0.03,0.0,0.0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8.0,,0.4,25.0,25.0,100.0,54.0,30.0,68.0,95.0,20.0,4,0.04686299684881493,9.35125657510228,0.09293680297397769,0.273224043715847,,0.14814814814814814,0.875,0.28,0.0,0.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,,101.0,48.0,301.0,62.0,135.0,250.0,10,0.13132160885254723,14.02563886785043,0.15166340508806261,0.09882583170254403,0.047619047619047616,0.12518778167250877,0.07865168539325842,0.003010752688172043,0.0,0.0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,,70.0,40.0,300.0,47.0,110.0,,10,0.13132160885254723,14.02563886785043,0.023157208088714937,0.0684931506849315,0.09523809523809523,,0.125,0.008450704225352112,0.0,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,,57.0,486.0,99.0,,,10,0.13132160885254723,14.02563886785043,0.16960208741030658,,0.047619047619047616,,0.17543859649122806,0.0038461538461538464,0.03508771929824561,0.0007692307692307692
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38.0,,0.7,1000.0,,143.0,66.0,663.0,60.01,165.0,,10,0.13132160885254723,14.02563886785043,0.06523157208088715,0.13992172211350293,,,0.2631578947368421,0.01,0.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,,100.0,81.0,300.0,59.0,103.0,45.0,10,0.13132160885254723,14.02563886785043,0.1111545988258317,0.09784735812133072,0.14285714285714285,0.022533800701051578,0.1346153846153846,0.004107981220657277,0.0,0.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,95.0,140.0,541.0,10,0.13132160885254723,14.02563886785043,0.13007175472928897,0.11741682974559686,0.23809523809523808,0.27090635953930897,0.24107142857142858,0.01354062186559679,0.026785714285714284,0.0015045135406218655
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,144.0,90.0,10,0.13132160885254723,14.02563886785043,0.09145466405740378,0.14481409001956946,0.09523809523809523,0.045067601402103155,0.17777777777777778,0.005706134094151213,0.044444444444444446,0.0014265335235378032
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,,48.0,160.0,68.0,93.0,,4,0.22319597666932456,16.50846058605035,0.1752767527675277,,0.1111111111111111,,0.0851063829787234,0.042105263157894736,0.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,87.0,138.0,86.0,4,0.22319597666932456,16.50846058605035,0.474169741697417,0.3654970760233918,0.5555555555555556,0.45989304812834225,0.23333333333333334,0.054474708171206226,0.05,0.011673151750972763
